lon,lat,count
46.2849927,38.0524675,20
45.0465487,37.5296071,21
48.295052,38.246471,22
51.679192,32.65139,23
50.9391,35.84,24
46.422649,33.638531,25
50.833092,28.922041,26
51.389,35.6892,27
50.8274267,32.3555942,28
59.22.62,32.8649,29
59.6,36.3,30
57.3235177,37.4524383,31
48.6706,31.3183,32
48.485111,36.67094,33
53.396049,35.572269,34
60.8842,29.4519,35
52.5837,29.5918,36
50.003811,36.266819,37
50.89064,34.643711,38
47.0026312,35.3029422,39
57.06702,30.28027,40
47.0778,34.3277,41
51.5875,30.6684,42
54.4485782,36.8633914,43
49.5891,37.2682,44
48.35,33.4666667,45
53.0597222,36.5658333,46
49.6772334,34.0800112,47
56.2666667,27.1833333,48
48.5162472,34.8065,49
54.36068,31.89661,50
