,Merchantnumber,all_transactions,sum_amounts,harmonic
0,62006362107229,1504,242823003,3.73216081012
1,62006362116636,735,72441123,1.5750160035
2,62006362106028,12211,5353279887,30.3761235487
3,062006362034169,8692,1320670377,103.616484374
4,62006362120041,321,22914119,0.685460031824
5,62006362048500,4769,5245274567,36.6680239534
6,062006362036781,14640,1801273734,279.911017876
7,62006362118293,6449,1858793053,13.7986014306
8,62006362100164,12004,2408463934,36.7468589482
9,062006362010672,1867,8261140103,8.17691355447
10,62006362107154,2413,2126623835,5.41310030939
11,62006362063412,1026,1670409174,4.1987711659
12,062006362009455,880,555882073,4.66941581196
13,62006362055099,2499,2112035352,31.0330570481
14,62006362119818,393,1239554021,0.810067385699
15,62006362107860,1892,890935021,4.09495721663
16,62006362113703,2507,287211251,5.57316777545
17,062006362029247,1745,617965777,30.4006475011
18,62006362121122,2701,324670519,5.49837440998
19,62006362118287,340,377098030,0.741326790368
20,062006362036216,3396,1282433785,47.07451706
21,062006362038108,223,360283088,2.81049498285
22,62006362052889,1906,769894872,10.1682923216
23,062006362037414,1988,1294857563,15.903171757
24,62006362058182,2203,2694388966,16.5622708868
25,62006362110631,1286,1598342519,2.82342158049
26,62006362042790,2470,387582178,27.6086694899
27,62006362114214,581,134282631,1.27611303442
28,62006362116456,362,467312064,0.802410179034
29,62006362106040,3811,2933860748,8.87616887702
30,62006362062515,659,2445420071,3.82009396162
31,62006362050590,2759,616814893,21.152273611
32,062006362034065,4310,8457151196,20.8095947794
33,62006362102226,250,752828062,0.65933189948
34,62006362116705,1332,313788297,2.79742091972
35,62006362038602,8462,2525143502,65.9995459426
36,62006362061958,597,915647086,3.23024479897
37,62006362112186,1833,244531023,4.20520971689
38,62006362041908,8817,6640099193,77.1865480805
39,062006362010591,1738,1660443588,14.0609350528
40,62006362109048,1366,202981043,3.28115225119
41,062006362003657,1399,3055723081,4.22970612328
42,62006362120441,2068,202851233,4.22032089321
43,62006362108100,818,291501047,1.97271716046
44,62006362046989,1100,1364184062,9.29379963273
45,62006362112290,765,618213257,1.58684739715
46,62006362045141,2582,661550088,29.9401485524
47,062006362005106,3004,1210830163,27.8317271527
48,62006362118251,3977,195745143,8.4908458401
49,062006362024464,8346,5267905595,37.8586487268
50,062006362008939,195,509887102,3.12980731546
51,62006362113029,2408,9138121043,5.45506960486
52,062006362029543,4778,475440282,74.5999079754
53,62006362050027,1112,16213735333,8.40121824492
54,62006362105810,5571,191952720852,13.8038483694
55,62006362114954,590,291264024,1.3190732793
56,62006362120248,4134,2253356619,8.46399502058
57,62006362103863,345,146721047,0.910736750269
58,62006362116921,1238,1112376709,2.61533702238
59,62006362112489,4355,834986016,10.0119591914
60,62006362068729,692,1942895408,1.97201232573
61,062006362023921,2723,800975179,19.0192873157
62,062006362020852,348,72943133,1.94319977169
63,62006362103381,100,938018069,0.244566172464
64,62006362063461,355,9455033142,1.50923830276
65,62006362049981,1194,1091667708,10.3417705055
66,62006362104784,10585,3032051160,25.2926639443
67,62006362103286,1247,2708204093,3.93094813017
68,62006362063199,2597,9280389783,8.50175203603
69,62006362041788,3988,88725949853,31.3548758472
70,62006362069035,1100,1997824082,3.58918115288
71,62006362117703,437,1574754519,0.880656517418
72,62006362063599,1654,2209699129,6.5742779243
73,62006362062175,1969,2067686789,4.85105132008
74,062006362010155,2820,380355598,14.8383900175
75,62006362117231,645,8666106017,1.42664082597
76,62006362115836,4388,1428721692,9.98210110324
77,62006362047383,15211,1017993757,136.231233921
78,62006362044798,883,2520267084,5.11482801259
79,62006362115625,751,121567027,1.63199069166
80,62006362117277,1086,142660819,2.27369848674
81,62006362064241,8685,15792499868,36.1069618142
82,62006362103240,464,561479091,1.14578676771
83,62006362109707,1091,233216024,2.66723040162
84,62006362118850,575,477822124,1.21687183718
85,62006362069604,648,304757035,1.93007216274
86,62006362105713,158,296322621,0.375450157726
87,62006362046934,2300,4639704080,43.3249064498
88,062006362019511,739,391845081,4.53892105181
89,062006362038312,2018,80291914430,16.4946969605
90,62006362111913,11533,1984085537,24.9407248399
91,62006362110984,1178,127363341,2.65106509493
92,62006362103065,1709,69542476138,4.97981351931
93,62006362120919,787,281941519,1.5709502994
94,62006362107882,900,295842547,2.28942351056
95,62006362066137,734,1781546681,2.06822966228
96,062006362030590,828,8768978196,3.7027468907
97,062006362016289,1243,395130090,7.38138588849
98,62006362053800,1010,4174524957,6.42465116206
99,062006362007116,613,1198787154,3.39576669209
100,062006362006137,1581,755587016,21.3695842166
101,62006362049696,150,98038184,1.27899268663
102,62006362065826,786,1105663085,3.21374971682
103,62006362116085,96,216541024,0.200987055585
104,62006362065052,301,382029093,0.980840098613
105,062006362009852,1287,275318086,17.1494525917
106,62006362114922,1082,742778432,2.35439410729
107,62006362052750,337,8100927971,4.46956694618
108,062006362009243,483,13508507088,2.61992275913
109,062006362016280,7529,4532095850,116.003555086
110,62006362116721,822,124697740,1.66324319556
111,62006362067977,1003,815790086,3.48023001305
112,62006362065893,830,14107776052,2.31962316324
113,62006362103903,664,16596632165,1.54139734179
114,62006362067769,2085,468839469,5.38596318648
115,62006362108379,1622,2519467270,3.81051646891
116,62006362041056,657,4766839074,8.46894567309
117,62006362069410,2940,1252662159,8.78424887625
118,62006362111683,764,807006531,1.72301012116
119,062006362017847,593,563414130,9.26619589603
120,062006362037178,12999,8649638237,111.832215658
121,62006362061653,5914,1965337912,63.3338311042
122,62006362105964,476,503512045,1.29581865049
123,62006362038761,1682,2588214084,11.6610131394
124,62006362119951,227,34198096,0.46653827173
125,62006362054337,1147,3039227092,17.5776717043
126,62006362115043,54,12417027,0.124298171244
127,62006362110084,2059,633229047,4.90128169744
128,062006362006119,2947,2573889777,17.2414359131
129,62006362058352,379,74606496,1.73497982184
130,62006362104211,1514,946052035,3.97934778416
131,62006362110649,3638,1475844035,8.67407355857
132,62006362100169,1272,218749051,3.86105231707
133,62006362118782,311,29424023,0.641021408872
134,62006362110789,1448,321774556,3.39817168141
135,62006362120442,126,18234015,0.275106537208
136,62006362114755,69,63849024,0.166317932671
137,62006362054937,417,480021093,6.85553085444
138,62006362060199,916,253310105,6.8449610875
139,62006362114504,325,696922026,0.743257193321
140,62006362051264,439,4253471061,4.26401483452
141,62006362110490,1226,301911389,3.02258293625
142,62006362064864,587,627939864,2.31843716149
143,62006362119401,247,152749019,0.522723802932
144,62006362069376,994,1587254561,3.02011013683
145,62006362114715,445,105077028,0.964197265602
146,62006362120820,627,1182605024,1.274123163
147,62006362067662,2137,3220677723,6.91378824075
148,62006362111629,1437,808217057,3.22710342101
149,062006362036969,1079,661177419,7.71853231972
150,062006362012220,786,1008321572,8.0589196371
151,062006362024486,2111,1312119584,10.0268214071
152,62006362110934,4162,285757506,9.17780613999
153,62006362053055,363,4775150077,1.59935751335
154,62006362106252,1434,147318559,3.41585931781
155,62006362120767,1252,208496047,2.56972468809
156,62006362039345,178,1369670173,0.730218908796
157,62006362043054,5331,556722051,61.0466205741
158,62006362112228,412,206072023,0.850268606799
159,062006362035856,4066,1053925336490,28.3571094864
160,062006362025167,1039,398706101,21.1213800683
161,062006362021452,4329,11508483111,31.6587590148
162,62006362106451,448,1975346613,1.11504113945
163,62006362060958,551,2258029941,2.69166256793
164,62006362122102,271,71950319,0.553501249152
165,62006362108995,2423,620897047,5.71019003597
166,62006362104391,226,10912513454,0.534590449556
167,062006362014668,582,134492126,3.11197078692
168,62006362067613,1137,3116282057,4.179458108
169,62006362040919,740,1545154887,5.39186554505
170,062006362019305,10250,2139279926,69.8096412019
171,62006362116134,1351,940518653,2.86552609562
172,062006362036530,561,217339051,16.3164579107
173,62006362118412,936,222436519,1.91797804168
174,62006362055627,344,14066191069,2.13000782834
175,62006362105654,269,105550137,0.748629068918
176,62006362114491,1189,228871035,2.73961862494
177,62006362069258,1906,2865764671,5.79565649802
178,062006362037812,4155,10767630607,38.5507815115
179,62006362120224,441,139458024,0.935385611563
180,062006362035130,724,73306298324,11.7737861057
181,62006362064856,293,164817461,1.42488188106
182,62006362043859,1161,957608240,10.045860477
183,062006362011094,3919,2531889068,99.9835889074
184,62006362119895,115,417375019,0.241583725954
185,062006362032077,3025,1352645213,32.4162710996
186,62006362050466,1461,4013211189,16.8310851182
187,62006362115680,687,1158088023,1.49526951389
188,62006362117918,39,43077027,0.0860099536491
189,62006362100576,203,776949543,0.547510684844
190,62006362122423,133,54555015,0.273183158026
191,62006362111492,493,482514495,1.10623169232
192,62006362106845,3777,14170379669,8.35016985198
193,62006362111858,554,125013055,1.20834440856
194,062006362011213,1408,774149090,12.4283429215
195,62006362047489,213,5563776093,1.64144024335
196,062006362035450,1859,171841249827,10.161150972
197,62006362106701,794,1159433600,1.95117658025
198,62006362108445,300,63827047,0.618322144088
199,062006362010215,557,39507067,1.6430398171
200,62006362066895,188,1509244051,0.468843030256
201,062006362000590,364,33835354275,2.21095774074
202,62006362111623,725,67731547,1.57150527502
203,062006362003072,4644,425298529,56.1000764292
204,062006362016251,605,208495073,4.00598695417
205,062006362037694,153,107616294,0.75002176674
206,62006362119839,343,54795810,0.723050770831
207,062006362035679,844,15790508793,7.37361375719
208,62006362118267,1362,144035025,2.83877143734
209,62006362118939,35,26113011,0.0713595955314
210,062006362034998,5460,1633871102,100.227662908
211,62006362060135,936,23580655020,11.9922832637
212,62006362103512,1276,1788458071,2.5116358771
213,62006362056825,230,34389033,1.22762188238
214,62006362120341,1068,263209019,2.16542002976
215,62006362056417,145,2304434680,1.18044150132
216,62006362110471,100,250291023,0.223265247005
217,062006362001394,1838,1151279195,6.3852251469
218,62006362105485,2851,115031400471,6.78880318477
219,62006362110416,4179,3338727147,9.98759137837
220,62006362040074,3294,563205582,20.1170266741
221,62006362101422,43,185581064,0.125229282847
222,62006362107471,627,195905036,1.49604010931
223,62006362040645,362,3596545611,3.30848037421
224,62006362069125,385,138211048,0.918106717452
225,62006362105929,456,153085036,1.2037929982
226,062006362025972,3046,27817059436,29.4526731885
227,062006362017170,1125,94476471,12.0345164606
228,62006362066182,897,6084836913,2.58480636567
229,062006362062086,1075,417023792,6.94267803796
230,062006362024429,2133,8747646085,16.1430463769
231,62006362105096,310,653053052,0.673508591145
232,62006362119166,56,1667429029,0.117859473847
233,62006362111751,803,1165279527,1.98702355262
234,62006362059017,286,1536578026,0.959734169895
235,62006362112430,408,65075049,0.951619210773
236,062006362038271,452,9075701678,2.72072230199
237,62006362042120,1706,7564168174,14.3567931439
238,62006362045533,729,70236402625,5.24877332361
239,062006362009436,871,1015052041,19.4295090469
240,62006362108148,112,189508031,0.277874246992
